Source,Target
184168121,839068743313555456
870637836856426496,914894991666892800
870637836856426496,464441680
870637836856426496,889269338410295296
870637836856426496,139680414
870637836856426496,18832506
870637836856426496,354837448
870637836856426496,159796963
870637836856426496,399987110
870637836856426496,788466927446392832
1063406634549067776,14290960
1063406634549067776,988868805697916929
1063406634549067776,979644309694795777
1063406634549067776,3130669605
1063406634549067776,724908010724843520
1063406634549067776,2794526321
1063406634549067776,287625142
1063406634549067776,865112393508114432
1063406634549067776,2715881644
1063406634549067776,1100786024
1063406634549067776,759851228192923648
1063406634549067776,76315366
1063406634549067776,545179864
1063406634549067776,426464148
1063406634549067776,139680414
1063406634549067776,71790389
1063406634549067776,30866639
1063406634549067776,159796963
1063406634549067776,1063386622387863552
1063406634549067776,478938666
1063406634549067776,121146036
1063406634549067776,1067366985166741505
1063406634549067776,756922801
1063406634549067776,797888456
1063406634549067776,2914724262
1063406634549067776,439781248
1063406634549067776,34967636
1063406634549067776,760484680911167488
1063406634549067776,316396980
1063406634549067776,18375883
1063406634549067776,1511694613
1063406634549067776,2469568179
1063406634549067776,764109086057267201
1063406634549067776,1027820048461774848
1063406634549067776,2430204001
1063406634549067776,219522049
1063406634549067776,727478256719396864
1063406634549067776,464441680
1063406634549067776,70908416
1063406634549067776,973898955401646081
1063406634549067776,19669474
1063406634549067776,442886822
1063406634549067776,1388889006
1063406634549067776,50810156
1063406634549067776,94273161
1063406634549067776,1289165071
220849542,464441680
220849542,117247211
220849542,92382725
564930582,464441680
564930582,537448469
38736570,471333409
38736570,2210397950
38736570,1244061463
38736570,3872801301
38736570,464441680
38736570,2236525422
38736570,3086860420
38736570,425834136
38736570,250558059
38736570,1052218871481073664
38736570,59805032
38736570,1388889006
38736570,800009613051564032
38736570,1028167566987022336
38736570,4491224787
38736570,172260261
38736570,2410499372
38736570,720219120067821568
38736570,947448543677222913
38736570,392562349
38736570,893213172534005761
38736570,277007578
38736570,111006128
38736570,2785367814
38736570,704548944169332736
38736570,4008445576
38736570,988868805697916929
38736570,204767467
38736570,46347027
38736570,397865713
38736570,741764401494122496
38736570,788050637074403328
38736570,461880609
38736570,804012451901607936
38736570,780363899086446592
38736570,2911466055
38736570,2546222132
38736570,2382676952
38736570,2796546986
38736570,706852789792710656
38736570,250620142
38736570,875755554991427586
38736570,966591314497298432
38736570,880347099946201088
38736570,892761614121922560
38736570,744826649183674368
38736570,4008799216
38736570,191606021
38736570,2615135439
38736570,3280014502
38736570,25815677
38736570,4212430005
38736570,781105098793582592
38736570,799978386718412801
38736570,872750715189551105
38736570,27883670
38736570,1343969120
38736570,1429810189
38736570,3741645328
38736570,1849421473
38736570,503529895
38736570,3074738787
38736570,533022693
38736570,2597796918
38736570,328994106
38736570,864094962459316226
38736570,3198095872
38736570,1400691313
38736570,299186512
38736570,2688197528
38736570,2831487716
38736570,2513609502
38736570,1097837820
38736570,1569018049
38736570,890869564422180865
38736570,314987785
38736570,11332442
38736570,519036960
38736570,3760398976
38736570,849683755476426752
38736570,3425602487
