Id,Label,Link
18375883,jpnudell,https://twitter.com/jpnudell
1511694613,Exc264Topoi,https://twitter.com/Exc264Topoi
2469568179,digitalshrew,https://twitter.com/digitalshrew
764109086057267201,usamaligad,https://twitter.com/usamaligad
2430204001,SaraCaramello,https://twitter.com/SaraCaramello
219522049,cmroughan,https://twitter.com/cmroughan
727478256719396864,malfy_c,https://twitter.com/malfy_c
70908416,RunaUei9,https://twitter.com/RunaUei9
973898955401646081,ArcHerNet_org,https://twitter.com/ArcHerNet_org
19669474,AWOL_tweets,https://twitter.com/AWOL_tweets
442886822,diyclassics,https://twitter.com/diyclassics
50810156,mr56k,https://twitter.com/mr56k
1289165071,SimonStoyanova,https://twitter.com/SimonStoyanova
117247211,lianzaoffice,https://twitter.com/lianzaoffice
92382725,NDFNZ,https://twitter.com/NDFNZ
537448469,History_Hobo,https://twitter.com/History_Hobo
471333409,BrBabblingBooks,https://twitter.com/BrBabblingBooks
1244061463,SebastianKubon,https://twitter.com/SebastianKubon
3872801301,IGLektorInnen,https://twitter.com/IGLektorInnen
2236525422,write2gether,https://twitter.com/write2gether
3086860420,DHCooperation,https://twitter.com/DHCooperation
250558059,Mareike2405,https://twitter.com/Mareike2405
1052218871481073664,DH_Stuttgart,https://twitter.com/DH_Stuttgart
800009613051564032,winterverlag,https://twitter.com/winterverlag
1028167566987022336,HaasZwitschert,https://twitter.com/HaasZwitschert
4491224787,TimGeelhaar,https://twitter.com/TimGeelhaar
172260261,firmhistory,https://twitter.com/firmhistory
2410499372,pascalesolon,https://twitter.com/pascalesolon
720219120067821568,thomasS_UniR,https://twitter.com/thomasS_UniR
947448543677222913,van_de_Light,https://twitter.com/van_de_Light
392562349,ASoeren,https://twitter.com/ASoeren
277007578,dhiparis,https://twitter.com/dhiparis
111006128,FHeimburger,https://twitter.com/FHeimburger
2785367814,DFaehle,https://twitter.com/DFaehle
704548944169332736,FFHistorians,https://twitter.com/FFHistorians
4008445576,DHiNorden,https://twitter.com/DHiNorden
204767467,CathleenSarti,https://twitter.com/CathleenSarti
46347027,thist_uzh,https://twitter.com/thist_uzh
397865713,M_K_Schumacher,https://twitter.com/M_K_Schumacher
741764401494122496,certior_factus,https://twitter.com/certior_factus
788050637074403328,agnes_dober,https://twitter.com/agnes_dober
461880609,Bembelguy,https://twitter.com/Bembelguy
804012451901607936,CursorZeth,https://twitter.com/CursorZeth
780363899086446592,schroeder_chri,https://twitter.com/schroeder_chri
2911466055,AArchitectsYT,https://twitter.com/AArchitectsYT
2546222132,TLienkamp,https://twitter.com/TLienkamp
2382676952,notesJOR,https://twitter.com/notesJOR
2796546986,wkrauth,https://twitter.com/wkrauth
706852789792710656,Transkribus,https://twitter.com/Transkribus
250620142,StefanSchmunk,https://twitter.com/StefanSchmunk
875755554991427586,hist_naiske,https://twitter.com/hist_naiske
966591314497298432,MWW_DH,https://twitter.com/MWW_DH
880347099946201088,linglitTUDA,https://twitter.com/linglitTUDA
892761614121922560,Thomas_Renkert,https://twitter.com/Thomas_Renkert
744826649183674368,hist_Hub,https://twitter.com/hist_Hub
2615135439,prellmartin,https://twitter.com/prellmartin
25815677,Heikeschmidt,https://twitter.com/Heikeschmidt
4212430005,joshshepperd,https://twitter.com/joshshepperd
781105098793582592,originalerhalt,https://twitter.com/originalerhalt
799978386718412801,historischeOrte,https://twitter.com/historischeOrte
872750715189551105,gts7000,https://twitter.com/gts7000
27883670,hauschke,https://twitter.com/hauschke
1343969120,LaRimadora,https://twitter.com/LaRimadora
3741645328,RToscano_,https://twitter.com/RToscano_
1849421473,IndiraKaf,https://twitter.com/IndiraKaf
503529895,hkohle,https://twitter.com/hkohle
3074738787,MimoBender,https://twitter.com/MimoBender
533022693,pallaske,https://twitter.com/pallaske
2597796918,AnjaKikaHist,https://twitter.com/AnjaKikaHist
328994106,pink_pintera,https://twitter.com/pink_pintera
299186512,Dodis,https://twitter.com/Dodis
2688197528,kleinmonth,https://twitter.com/kleinmonth
2831487716,ChrGieseke,https://twitter.com/ChrGieseke
2513609502,bauberer,https://twitter.com/bauberer
1097837820,SchJulzian,https://twitter.com/SchJulzian
890869564422180865,AndreaGHofmann,https://twitter.com/AndreaGHofmann
314987785,lnasrallah,https://twitter.com/lnasrallah
11332442,cibera,https://twitter.com/cibera
3760398976,diskretewerte,https://twitter.com/diskretewerte
849683755476426752,dennis_friedl,https://twitter.com/dennis_friedl
